# 六感菜单繁体手工校准词条 —— 按 SKU3惠而浦烤箱6th菜单菜谱-中英文-2026.xlsx 繁体块逐字
# 重放: perl tw_work/apply_six_desc_overrides.pl tw_work/six_desc_tw_overrides.tw_table.c 之前先备份
# 实际用法: perl tw_work/apply_six_desc_overrides.pl tw_work/six_desc_tw_overrides.tsv ui_builder/custom/i18n_tw_table.c
# 格式: zh<TAB>tw ; C 源里的 \n 写作 ⏎ ; # 开头为注释
# ==== 一、行片段(头部/层数/器皿, 与描述页共享的独立键) ====
烹饪说明：	烹調指引：
根据你喜欢的食谱准备面糊。将面糊均匀分布在烤盘的纸杯里，每个纸杯里填满2/3左右。烹饪结束后，转移到网架上完全冷却，然后再涂上糖霜	按個人喜好的食譜準備麵糊。將麵糊均勻倒入焗盤的紙杯內，每個紙杯注入約 2/3 滿。烹調完成後，移至網架上完全放涼，再加上糖霜裝飾。
根据你最喜欢的食谱准备和冷却面糊。将冷面糊直接倒入抹了油的玛德琳烤盘的中心。烹饪结束后，立即将盘倒在网架冷却架上，把玛德琳蛋糕放出来。放凉后再撒上糖粉，新鲜食用	按個人喜好的食譜準備麵糊並冷藏。將冷麵糊直接倒入已抹油的瑪德蓮焗盤各個貝殼模中央。烹調完成後，立即將焗盤倒扣在網架上以取出瑪德蓮。先放涼，再灑上糖霜即可享用。
根据你最喜欢的食谱准备面团。团出1.5汤匙大小的面团，放在烤盘上，每块饼干之间留出2.5厘米的空间	按個人喜好的食譜準備麵團。舀出約1.5湯匙大小的麵團球並放上焗盤，每塊曲奇之間需留有約 2.5 厘米的間距。
根据你最喜欢的食谱准备面团和蛋奶冻。把面团分成相等的球。将每个部分压入模具中，从下向上形成一个边缘。将蛋奶液倒入酥皮中，填充80%左右。烹饪结束后，让它冷却后再食用	按個人喜好的食譜準備麵團和蛋漿。將麵團分成等份小球。將每份壓入模具中，由底部往上推貼，以形成撻邊。將蛋漿倒入每個撻皮內，倒至約八成滿。烹調完成後先放涼即可享用。
根据你最喜欢的食谱准备面团。将2英寸的面团放到烤盘上。用潮湿的手指轻轻地按下尖的地方。在烹饪结束时，将泡芙转移到网架上，刺破每个泡芙的侧面或底部，释放困住的蒸汽。待其完全冷却后，将泡芙顶部的三分之一的位置切掉，倒入奶油，替换顶部	按個人喜好的食譜準備麵糊。在焗盤上擠出約2吋大小的圓形。用微濕的手指輕輕壓平表面尖角。烹調完成後，將外殼移至網架上，並在每個的側面或底部戳孔以釋放內部蒸氣。完全放涼後，切開泡芙頂部約三分之一處，擠入忌廉，最後蓋回頂部。
根据你最喜欢的食谱准备面团，放在烤盘上	按個人喜好的食譜準備麵團，並放上焗盤。
根据你喜欢的食谱准备面糊。在烤盘上把松饼杯均匀地分成几份，把每个松饼杯都填满	按個人喜好的食譜準備麵糊。將麵糊均勻倒入焗盤上的鬆餅紙杯內，並倒至全滿。
根据你的喜好加盐和胡椒调味。把鸡翅裹上蛋液，然后裹上面包屑。均匀分布在气炸盘中，轻轻喷上食用油	按個人喜好用鹽和胡椒調味。將雞翼沾上蛋液，然後裹上麵包糠。平鋪在氣炸盤上，並輕輕噴上煮食油。
根据你的喜好加盐和胡椒调味。把鸡腿裹上蛋液，然后裹上面包屑。均匀分布在气炸盘中，轻轻喷上食用油	按個人喜好用鹽和胡椒調味。將雞髀沾上蛋液，然後裹上麵包糠。平舖在氣炸盤上，並輕輕噴上煮食油。
从包装中取出，摆在烤盘上	從包裝中取出，平鋪在焗盤上。
刷油，根据个人喜好，撒上盐、烧烤料。在烤盘内均匀铺开	掃上油。按個人喜好灑上鹽和燒烤調味料。平舖在焗盤上。
刷上油。根据喜好用蒜蓉酱、盐和油调味	刷上油。按個人喜好加入蒜蓉醬、鹽和油調味。
